F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX,PF,QF,PT,QT,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX
1001,1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,63.4691203,8.85990502,-63.266528,-8.11972133,0,0,0,0
1001,1064,0.00524,0.0358,0.00609,221,0,0,0,0,1,0,0,63.4691203,8.85990502,-63.266528,-8.11972133,0,0,0,0
1001,1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-73.8591203,-11.804905,74.0876295,12.7062411,0,0,0,0
1001,1071,0.00435,0.02808,0.00536,221,0,0,0,0,1,0,0,-73.8591203,-11.804905,74.0876295,12.7062411,0,0,0,0
1002,1007,0.07776,0.46693,0.06336,98,0,0,0,0,1,0,0,2.31432984,-5.7325864,-2.3077829,-1.57685067,0,0,0,0
1010,1002,0.05552,0.1357,0.01777,98,0,0,0,0,1,0,0,17.8785018,-3.04480684,-17.7243298,1.3625864,0,0,0,0
1004,1003,0.0045,0.11582,0,250,0,0,1,0,1,0,0,-24.2157329,1.81958091,24.2389846,-1.22113392,0,0,0,0
1022,1003,0.00485,0.02012,0.00341,221,0,0,0,0,1,0,0,82.0297655,-4.09887389,-81.744369,4.89305791,0,0,0,0
1055,1003,0.01574,0.03782,0.00513,98,0,0,0,0,1,0,0,-57.0472093,4.1918908,57.5053845,-3.671924,0,0,0,0
1004,3133,0.0042,0.03,0.055,523,0,0,0,0,1,0,0,182.465733,-32.183229,-181.20947,34.8660877,0,0,0,0
1006,1005,0.00602,0.14707,0,42,0,0,1,0,1,0,0,25.73,-4.93998542,-25.6929646,5.84476978,0,0,0,0
1025,1005,0.01842,0.0821,0.01204,149,0,0,0,0,1,0,0,48.0772366,-5.67189201,-47.6986156,5.99582118,0,0,0,0
1005,1061,0.00599,0.02484,0.00422,221,0,0,0,0,1,0,0,75.1915497,-28.7655302,-74.8482693,29.711668,0,0,0,0
1067,1005,0.01711,0.04181,0.00548,102.9,0,0,0,0,1,0,0,1.84549163,-17.4283803,-1.79996954,16.9249392,0,0,0,0
1007,1015,0.06224,0.37375,0.05072,98,0,0,0,0,1,0,0,-2.38250115,-3.11484436,2.38553877,-2.80092472,0,0,0,0
1031,1007,0.04803,0.27434,0.04123,98,0,0,0,0,1,0,0,2.33306101,-7.48019441,-2.31971595,2.79512418,0,0,0,0
1009,1008,0.00455,0.09471,0,120,0,0,1,0,1,0,0,61.87,-11.8799973,-61.7060728,15.292204,0,0,0,0
1008,1032,0.04501,0.11002,0.01441,102.9,0,0,0,0,1,0,0,61.114342,-16.4195545,-59.5179281,18.7165552,0,0,0,0
1008,1069,0.0083,0.03628,0.00553,149,0,0,0,0,1,0,0,0.591730804,1.12735047,-0.591551998,-1.74658978,0,0,0,0
1011,1010,0.00721,0.3246,0,46,0,0,1,0,1,0,0,9.99999996,5.82339732e-11,-9.99381726,0.278350095,0,0,0,0
1010,1015,0.04703,0.28243,0.03833,98,0,0,0,0,1,0,0,9.93824593,-4.89458816,-9.89553877,0.670924723,0,0,0,0
