BUS_I,BUS_TYPE,PD,QD,GS,BS,BUS_AREA,VM,VA,BASE_KV,ZONE,VMAX,VMIN,LAM_P,LAM_Q,MU_VMAX,MU_VMIN
1001,1,20.78,5.89,0,0,1,1,-37.2633851,115,9,1.1,0.9,18.4996759,0,0,0
1002,1,15.41,4.37,0,0,1,1,-30.8083634,115,9,1.1,0.9,18.4996759,0,0,0
1003,1,0,0,0,0,1,1,-33.1245716,115,9,1.1,0.9,18.4996759,0,0,0
1004,2,0,0,0,0,1,1,-35.0913956,230,9,1.1,0.9,18.4996759,0,0,0
1005,1,0,0,0,0,1,1,-30.0089303,115,9,1.1,0.9,18.4996759,0,0,0
1006,2,0,0,0,0,1,1,-27.8407944,13.8,9,1.1,0.9,18.4996759,0,0,0
1007,1,7.01,1.99,0,0.08,1,1,-31.3384034,115,9,1.1,0.9,18.4996759,0,0,0
1008,1,0,0,0,0,1,1,-20.5498793,115,9,1.1,0.9,18.4996759,0,0,0
1009,2,0,0,0,0,1,1,-17.1925141,13.8,9,1.1,0.9,18.4996759,0,0,0
1010,1,0,0,0,-2.19,1,1,-29.456189,115,9,1.1,0.9,18.4996759,0,0,0
1011,2,0,0,0,0,1,1,-27.5963679,22,9,1.1,0.9,18.4996759,0,0,0
1012,1,2.99,0.85,0,9.5,1,1,-36.0638353,115,9,1.1,0.9,18.4996759,0,0,0
1013,1,29.23,8.28,0,0,1,1,-28.8867282,115,9,1.1,0.9,18.4996759,0,0,0
1014,1,2.22,0.63,0,0,1,1,-24.9209094,115,9,1.1,0.9,18.4996759,0,0,0
1015,1,7.51,2.13,0,0,1,1,-30.9585231,115,9,1.1,0.9,18.4996759,0,0,0
1016,1,2.89,0.82,0,30,1,1,-28.8552007,115,9,1.1,0.9,18.4996759,0,0,0
1017,1,18.34,5.2,0,0,1,1,-35.5180353,115,9,1.1,0.9,18.4996759,0,0,0
1018,1,0.07,0.02,0,0,1,1,-34.2171599,115,9,1.1,0.9,18.4996759,0,0,0
1019,1,61.78,17.5,0,142.98,1,1,-36.6441909,115,9,1.1,0.9,18.4996759,0,0,0
1020,1,0,0,0,76.73,1,1,-29.0764831,115,9,1.1,0.9,18.4996759,0,0,0
1021,2,0,0,0,0,1,1,-22.3791247,13.8,9,1.1,0.9,18.4996759,0,0,0
1022,1,0,0,0,0,1,1,-32.2890818,115,9,1.1,0.9,18.4996759,0,0,0
1023,2,0,0,0,0,1,1,-23.2136882,13.8,9,1.1,0.9,18.4996759,0,0,0
1024,1,63.04,17.86,0,0,1,1,-33.1305437,115,9,1.1,0.9,18.4996759,0,0,0
1025,1,0,0,0,0,1,1,-28.059226,115,9,1.1,0.9,18.4996759,0,0,0
1026,2,0,0,0,0,1,1,-18.4278919,13.8,9,1.1,0.9,18.4996759,0,0,0
1027,1,101.21,28.68,0,75,1,1,-39.5418284,115,9,1.1,0.9,18.4996759,0,0,0
1028,1,10.01,2.84,0,0,1,1,-33.9464775,115,9,1.1,0.9,18.4996759,0,0,0
1029,1,83.18,23.57,0,65.41,1,1,-38.6385713,115,9,1.1,0.9,18.4996759,0,0,0
